image_path,mask_path,series,split
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1069.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1069.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1080.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1080.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1092.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1092.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1108.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1108.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1128.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1128.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1157.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1157.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1165.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1165.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1176.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1176.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1183.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1183.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1190.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1190.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1191.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1191.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1353.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1353.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1362.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1362.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1393.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1393.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1407.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1407.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1411.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1411.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1419.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1419.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1420.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1420.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1444.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1444.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1447.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1447.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1450.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1450.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1452.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1452.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1454.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1454.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1458.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1458.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1465.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1465.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1502.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1502.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1503.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1503.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1520.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1520.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1664.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1664.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1667.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1667.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1677.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1677.png,202201121748100022VAS,train
/home/gokul/github_repos/cyient/data/sample_images/carotid/US images/202201121748100022VAS_slice_1680.png,/home/gokul/github_repos/cyient/data/sample_images/carotid/Expert mask images/202201121748100022VAS_slice_1680.png,202201121748100022VAS,train
